title,keyword,rate_score,StarRate_ParticipantCount
흰 사슴 잉그리드,#별점1000개이상#2만원초과#판타지물#서양풍#신파#까칠남#상처남#나쁜남자#후회남#절륜남#왕족/귀족#선결혼후연애#몸정>맘정#소유욕/독점욕/질투#능력남#집착남#오만남#능력녀#사이다녀#다정녀#철벽녀#외유내강#우월녀#피폐물#조신남#츤데레남#평점4점이상#리뷰100개이상#고수위#단행본,4.3,3484
심야 비서,#별점1000개이상#5000~1만원#현대물#로맨틱코미디#사내연애#재회물#절륜남#계략남#능글남#달달물#갑을관계#뇌섹남#능력남#직진남#유혹남#능력녀#철벽녀#무심녀#외유내강#이야기중심#평점4점이상#리뷰100개이상#단행본,4.0,1675
"안녕하세요, 선배님",#별점1000개이상#3000원이하#현대물#첫사랑#재회물#연하남#다정남#절륜남#계략남#상처녀#능글남#달달물#소유욕/독점욕/질투#직진남#집착남#존댓말남#무심녀#도도녀#더티토크#평점4점이상#리뷰100개이상#2016년출간#고수위#단행본,4.2,7100
루시아,#별점1000개이상#1만원~2만원#가상시대물#판타지물#서양풍#첫사랑#전생/환생#나쁜남자#바람둥이#오해#카리스마남#왕족/귀족#달달물#회귀/타임슬립#권선징악#갑을관계#계약연애/결혼#선결혼후연애#몸정>맘정#소유욕/독점욕/질투#운명적사랑#능력남#사이다남#직진남#평범녀#다정녀#동정녀#외유내강#힐링물#성장물#평점4점이상#리뷰100개이상#고수위#단행본,4.6,8515
미희,#별점1000개이상#5000~1만원#현대물#재회물#상처남#순정남#법조계#라이벌/앙숙#소유욕/독점욕/질투#능력남#집착남#나쁜여자#후회녀#까칠녀#무심녀#도도녀#피폐물#조신남#평점4점이상#리뷰100개이상#고수위#단행본,4.2,4044
윤영의 남자,#별점1000개이상#3000~5000원#현대물#사내연애#첫사랑#신데렐라#원나잇#재회물#상처남#순정남#다정남#절륜남#상처녀#카리스마남#재벌남#능력남#동정녀#무심녀#도도녀#외유내강#평점4점이상#리뷰100개이상#2015년출간#단행본,4.3,7534
하라는 일은 안 하고,#별점1000개이상#3000원이하#현대물#사내연애#첫사랑#순정남#절륜남#순진녀#카리스마남#소유욕/독점욕/질투#능력남#직진남#집착남#능력녀#순정녀#더티토크#리뷰100개이상#고수위#단행본,3.8,1935
너의 의미,#별점1000개이상#1만원~2만원#궁정로맨스#가상시대물#판타지물#서양풍#로맨틱코미디#순정남#다정남#왕족/귀족#달달물#초능력#차원이동#뇌섹남#사이다남#평범녀#사이다녀#철벽녀#무심녀#걸크러시#힐링물#이야기중심#평점4점이상#리뷰100개이상#단행본,4.4,3291
"월, 광(月, 狂)",#별점1000개이상#3000~5000원#현대물#동거#첫사랑#동정남#절륜남#계략남#상처녀#외국인/혼혈#스포츠물#비밀연애#소유욕/독점욕/질투#금단의관계#운명적사랑#능력남#유혹남#집착남#냉정남#짝사랑녀#철벽녀#동정녀#성장물#피폐물#평점4점이상#리뷰100개이상#썸딜#고수위#단행본,4.3,5862
받아들이는 체질,#별점1000개이상#3000~5000원#현대물#로맨틱코미디#사내연애#원나잇#재회물#상처남#다정남#절륜남#재벌남#갑을관계#몸정>맘정#뇌섹남#존댓말남#짝사랑녀#동정녀#외유내강#더티토크#리뷰100개이상#고수위#단행본,3.8,2860
연성의 귀부인,#별점1000개이상#3000~5000원#궁정로맨스#가상시대물#동양풍#무협물#순정남#절륜남#왕족/귀족#권선징악#소유욕/독점욕/질투#능력남#집착남#오만남#능력녀#도도녀#외유내강#이야기중심#평점4점이상#리뷰100개이상#썸딜#단행본,4.4,6547
나쁜,#별점1000개이상#3000~5000원#현대물#학원물#첫사랑#신파#재회물#나쁜남자#절륜남#상처녀#오해#애잔물#평점4점이상#리뷰100개이상#썸딜#단행본,4.1,3598
